jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,uncalibrated_model_price,price_range_low,price_range_high,range_basis,draft_probability,draft_likelihood,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
1,nfl:gsis:00-0039139,22968,Jahmyr Gibbs,RB,DET,68.7,73.7,63.1,74.4,historical_forward_error_p80:RB,0.9657,very_likely,57,1.0,1.0,301.624,62,
2,nfl:gsis:00-0038542,23133,Bijan Robinson,RB,ATL,65.8,70.5,60.1,71.5,historical_forward_error_p80:RB,0.9657,very_likely,56,2.0,2.0,290.24,68,
3,nfl:gsis:00-0036900,19788,Ja'Marr Chase,WR,CIN,59.5,63.8,53.3,65.8,historical_forward_error_p80:WR,0.9326,very_likely,56,3.0,3.0,214.816,71,
4,nfl:gsis:00-0033280,16393,Christian McCaffrey,RB,SF,58.3,62.4,52.6,63.9,historical_forward_error_p80:RB,0.9783,very_likely,53,6.0,5.0,256.421,66,
5,nfl:gsis:00-0039075,23180,Puka Nacua,WR,LAR,55.8,59.8,49.6,62.0,historical_forward_error_p80:WR,0.9306,very_likely,55,4.0,4.0,222.78,40,
6,nfl:gsis:00-0036223,19217,Jonathan Taylor,RB,IND,53.9,57.7,48.2,59.5,historical_forward_error_p80:RB,0.9736,very_likely,52,7.0,7.0,267.246,37,
7,nfl:gsis:00-0038543,23070,Jaxon Smith-Njigba,WR,SEA,51.3,55.0,45.1,57.6,historical_forward_error_p80:WR,0.9438,very_likely,54,5.0,6.0,213.255,23,
8,nfl:gsis:00-0036963,19799,Amon-Ra St. Brown,WR,DET,49.5,53.0,43.3,55.7,historical_forward_error_p80:WR,0.926,very_likely,52,8.0,8.0,202.382,51,
9,nfl:gsis:00-0037248,22958,James Cook III,RB,BUF,47.9,51.4,42.3,53.6,historical_forward_error_p80:RB,1.0,very_likely,46,12.0,9.0,237.241,33,
10,nfl:gsis:00-0036358,19202,CeeDee Lamb,WR,DAL,47.0,50.3,40.7,53.2,historical_forward_error_p80:WR,0.9451,very_likely,51,9.0,10.0,175.539,62,
11,nfl:gsis:00-0034844,17240,Saquon Barkley,RB,PHI,46.4,49.7,40.7,52.0,historical_forward_error_p80:RB,1.0,very_likely,42,13.0,11.0,222.911,67,
12,nfl:gsis:00-0032764,15514,Derrick Henry,RB,BAL,45.0,48.2,39.3,50.6,historical_forward_error_p80:RB,0.9056,very_likely,50,16.0,17.0,255.542,58,
13,nfl:gsis:00-0039040,23136,De'Von Achane,RB,MIA,44.6,47.8,39.0,50.3,historical_forward_error_p80:RB,1.0,very_likely,45,10.0,14.0,227.129,52,
14,nfl:gsis:00-0036322,19236,Justin Jefferson,WR,MIN,43.6,46.7,37.3,49.8,historical_forward_error_p80:WR,0.9641,very_likely,48,11.0,12.0,173.863,54,
15,nfl:gsis:00-0040122,25989,Ashton Jeanty,RB,LV,41.5,44.5,35.8,47.2,historical_forward_error_p80:RB,1.0,very_likely,36,14.0,13.0,217.985,51,
16,nfl:gsis:00-0038597,25324,Chase Brown,RB,CIN,37.4,40.1,31.8,43.1,historical_forward_error_p80:RB,1.0,very_likely,33,22.0,15.0,214.782,46,
17,nfl:gsis:00-0038134,23021,Kenneth Walker III,RB,KC,37.0,39.6,31.3,42.6,historical_forward_error_p80:RB,1.0,very_likely,37,21.0,16.0,212.193,24,
18,nfl:gsis:00-0037238,23163,Drake London,WR,ATL,36.6,39.2,30.4,42.8,historical_forward_error_p80:WR,0.9913,very_likely,43,15.0,19.0,185.376,41,
19,nfl:gsis:00-0040666,25395,Omarion Hampton,RB,LAC,34.5,36.9,28.8,40.1,historical_forward_error_p80:RB,1.0,very_likely,34,25.0,18.0,203.971,35,
20,nfl:gsis:00-0041027,25403,Jeremiyah Love,RB,ARI,32.0,34.3,26.4,37.7,historical_forward_error_p80:RB,1.0,very_likely,35,18.0,26.0,200.684,,prior_jugg_salary
21,nfl:gsis:00-0037744,22936,Trey McBride,TE,ARI,32.0,34.3,27.4,36.6,historical_forward_error_p80:TE,0.97,very_likely,38,17.0,25.0,145.308,30,
22,nfl:gsis:00-0034857,17298,Josh Allen,QB,BUF,31.7,33.9,27.2,36.2,historical_forward_error_p80:QB,1.0,very_likely,22,19.0,20.0,399.899,38,
23,nfl:gsis:00-0039338,22955,Brock Bowers,TE,LV,31.5,33.7,26.9,36.1,historical_forward_error_p80:TE,0.9612,very_likely,32,23.0,21.0,147.446,41,
24,nfl:gsis:00-0036554,20130,Nico Collins,WR,HOU,29.0,31.1,22.8,35.3,historical_forward_error_p80:WR,1.0,very_likely,31,26.0,22.0,169.779,42,
25,nfl:gsis:00-0039067,23113,Rashee Rice,WR,KC,27.8,29.8,21.6,34.0,historical_forward_error_p80:WR,0.9647,very_likely,40,20.0,33.0,174.945,1,
26,nfl:gsis:00-0035676,18218,A.J. Brown,WR,NE,27.8,29.8,21.6,34.0,historical_forward_error_p80:WR,1.0,very_likely,30,24.0,24.0,167.492,37,
27,nfl:gsis:00-0035700,18269,Josh Jacobs,RB,GB,27.4,29.3,21.7,33.1,historical_forward_error_p80:RB,1.0,very_likely,27,31.0,29.0,213.274,44,
28,nfl:gsis:00-0037247,22963,George Pickens,WR,DAL,26.0,27.9,19.8,32.3,historical_forward_error_p80:WR,1.0,very_likely,28,27.0,23.0,169.491,5,
29,nfl:gsis:00-0038120,22982,Breece Hall,RB,NYJ,25.9,27.7,20.2,31.6,historical_forward_error_p80:RB,1.0,very_likely,32,28.0,35.0,199.048,21,
30,nfl:gsis:00-0039337,25409,Malik Nabers,WR,NYG,24.2,25.9,18.0,30.5,historical_forward_error_p80:WR,1.0,very_likely,29,30.0,30.0,159.298,40,
31,nfl:gsis:00-0037840,23059,Kyren Williams,RB,LAR,24.2,25.9,18.5,29.8,historical_forward_error_p80:RB,1.0,very_likely,21,38.0,28.0,206.323,37,
32,nfl:gsis:00-0037239,20111,Chris Olave,WR,NO,23.4,25.0,17.2,29.6,historical_forward_error_p80:WR,1.0,very_likely,30,29.0,31.0,166.21,2,
33,nfl:gsis:00-0036997,22739,Javonte Williams,RB,DAL,23.3,24.9,17.6,28.9,historical_forward_error_p80:RB,1.0,very_likely,26,33.0,34.0,201.141,3,
34,nfl:gsis:00-0036912,19222,DeVonta Smith,WR,PHI,19.4,20.8,13.2,25.6,historical_forward_error_p80:WR,1.0,very_likely,18,35.0,27.0,149.035,6,
35,nfl:gsis:00-0040715,27166,Cam Skattebo,RB,NYG,19.0,20.3,13.3,24.6,historical_forward_error_p80:RB,1.0,very_likely,20,39.0,39.0,191.676,1,
36,nfl:gsis:00-0036973,19231,Travis Etienne Jr.,RB,NO,18.3,19.6,12.7,24.0,historical_forward_error_p80:RB,1.0,very_likely,22,41.0,43.0,189.663,1,
37,nfl:gsis:00-0034796,17233,Lamar Jackson,QB,BAL,17.7,18.9,13.2,22.2,historical_forward_error_p80:QB,1.0,very_likely,10,34.0,37.0,353.255,38,
