"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Tom Brady","TB","QB","5848","weighted",4850.71221885649,285.55363622811,37.0973835668308,2.50825162800975,11.8416092389247,1.08728260644334,49.6854184021204,18.2402245633,1.63976524043923,0.509112854438706,2.25187618326392,0.678332416980099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1977-08-03,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4835.28389246498,240.466275138246,37.2839833396441,2.85955406145758,11.6236842105263,1.52901182500517,359.477334343052,41.4252500531822,2.71448693676638,0.657302756734729,2.36469897765998,0.462381833723758,1.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"Derek Carr","LVR","QB","11644","weighted",4593.2403824309,309.19124316816,28.5385800833018,2.42481418795075,12.3363915183643,2.185940768715,134.367686482393,28.9448548884636,1.39227186671715,0.444102008251306,4.5290193108671,1.79957219463048,1.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-03-28,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",4738.77716395305,237.967109577879,34.9844907232109,2.45530208599509,13.0885687239682,1.89944197411906,289.627553956835,26.3309997422203,3.03276410450587,0.429675051518365,0.874669632714881,0.181610593276454,3.72,4.74948766434189e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Aaron Rodgers","GB","QB","7836","weighted",4309.7374062855,280.071494863698,34.6918288527073,2.66711578622136,6.48510412722454,2.0420093705352,128.107845513063,30.5918722742486,2.3644907232109,0.89513841438587,0.99810867095797,0.112348750377893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4503.82271109428,187.960263745525,33.4442446043165,2.05836310080303,11.975229079894,1.80338453865429,212.770446800454,43.4629224770144,2.48929193487315,0.533616416351141,4.80051590306702,1.66884857510892,5.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4559.70804619462,228.462373764708,34.1713479742522,3.19440130604024,14.8991026126467,2.48632350874424,86.2510299129118,43.8414750531837,1.02917076864824,0.919021072418385,1.5585895494131,0.239355815785073,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4559.70804619462,228.462373764708,34.1713479742522,3.19440130604024,14.8991026126467,2.48632350874424,86.2510299129118,43.8414750531837,1.02917076864824,0.919021072418385,1.5585895494131,0.239355815785073,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","weighted",4563.28804998107,196.893865007544,31.7602234002272,3.41591356302476,12.2950965543355,2.89297386991623,170.426652783037,58.3111849611392,2.24884892086331,0.367097092013308,1.46750378644453,0.463417614386901,1.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",4436.2558841348,196.958406799463,35.7331957591821,2.02600008588619,13.8974971601666,2.20508793251847,688.230071942446,73.154488284896,6.70775842483908,0.841209030801671,2.86992900416509,0.201355412019415,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Russell Wilson","DEN","QB","10703","weighted",4207.20360090875,212.417620855546,30.6113631200303,2.97685164054173,8.80843241196516,1.98694809949639,278.252942067399,50.0375922349965,2.1604240817872,0.325516266986396,1.42035403256342,0.378923432477163,1.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-11-29,NA,NA,NA,NA
"Kirk Cousins","MIN","QB","10700","weighted",4369.18011359334,164.571227379503,32.7154411207876,2.27434021861569,11.1775880348353,1.37081088779237,117.796626277925,17.4193239683805,1.11036349867474,0.38681065125298,2.60597784929951,0.815539382199411,2.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",4162.43611510791,184.192931573216,27.304505868989,2.00250669068328,12.3005641802348,1.60478542849596,524.58084437713,85.2312901533676,5.5023438091632,0.996922706938721,1.40287201817493,0.295216544296841,0.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",3994.21772434684,203.379533229688,22.2175425975009,3.93566732210123,14.0257743279061,1.56072906133778,330.184619462325,44.2238526761209,2.2536690647482,0.507207272778835,3.17786255206361,1.12512053295508,1.75,2.37474383217094e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",3889.71926542976,262.104525637895,24.5619538053768,2.36461342770522,12.0109693297993,1.15073158932625,89.5041613025369,24.4937267627103,0.912934494509655,0.226314460111141,3.95721696327149,1.40620093061898,3.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Matt Ryan","IND","QB","9099","weighted",4040.65798010381,204.931110131381,26.0013062283737,1.64988120093086,10.8056228373702,1.59442216113248,116.956825259516,42.5869127163899,1.18576124567474,0.524468698536038,3.68813148788927,0.941246032835845,1.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-05-17,NA,NA,NA,NA
"Jameis Winston","NO","QB","12140","weighted",3513.33788716395,519.816113987088,24.7897803862173,3.77802706907123,11.5294433926543,1.62104079775653,282.332135554714,89.2029192378158,2.05953426732298,1.36215477420769,2.21588508140856,0.457161063141213,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",3982.55358576297,114.977851259476,25.4396592199924,2.37164584737834,13.4281294964029,1.7158483550063,197.140405149565,48.7672424740111,3.38512305944718,0.975353789835332,1.79590969329799,0.366201378281754,1.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,NA,NA,NA,NA
"Mac Jones","NE","QB","15241","weighted",3921.40970465733,135.356854738007,24.4294547519879,1.71759949355257,13.7338432411965,2.96438319652974,163.154687618326,47.2989296892045,0.808508140855737,0.970293508036213,2.50457970465733,0.349013839519549,1.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-09-05,NA,NA,NA,NA
"Trey Lance","SF","QB","15240","weighted",3613.36317682696,235.628380530796,22.9162097690269,2.4523519878238,13.4201703900038,1.45412903553132,601.769522907989,218.937650315068,4.70873911397198,2.12330375158896,2.1684011737978,0.210064723199131,1.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2000-05-09,NA,NA,NA,NA
"Baker Mayfield","CAR","QB","13590","weighted",3622.29697841727,255.815609670989,21.2834570238546,3.24825301672891,13.9271639530481,3.04079198412022,172.052722453616,47.3791256058421,1.78764861794775,1.05860966080224,2.41523381294964,0.851159745415463,1.42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",3632.24536160545,238.128411884699,23.535766755017,3.33835542182283,12.4358273381295,1.93880802125678,775.506804240818,42.8934547007499,7.73137447936388,1.09294807149597,2.47471601666036,0.422958236284625,3.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-08-07,NA,NA,NA,NA
"Mitchell Trubisky","PIT","QB","13115","weighted",2846.24017796289,811.137737764043,16.6959825823552,5.97018609431441,10.1580424081787,3.65201172250697,174.977247254828,123.573642523377,1.73897008708822,0.873442622392638,1.77225482771677,0.898580419216125,2.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1994-08-20,NA,NA,NA,NA
"Ryan Tannehill","TEN","QB","10697","weighted",3748.01731541083,123.111781822427,24.6618402120409,1.85540676091228,12.7690268837562,2.44918704987919,256.938091631958,25.401326858969,4.50104127224536,1.29601390943341,2.08753502461189,0.615553782078916,2.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-07-27,NA,NA,NA,NA
