season,week,team,full_name,position,status,birth_date,years_exp,gsis_id,espn_id,yahoo_id,pfr_id,pff_id,sleeper_id
2023,11,PHI,Bernard Williams,OL,CUT,,29,00-0017724,,,,,
2023,18,SEA,Jason Peters,OL,INA,1982-01-22,19,00-0022531,6012,7122,,2148,412
2023,18,NYJ,Aaron Rodgers,QB,INA,1983-12-02,18,00-0023459,8439,7200,RodgAa00,2241,96
2023,18,ARI,Matt Prater,K,ACT,1984-08-10,17,00-0023853,11122,8565,,3471,17
2023,18,CHI,Marcedes Lewis,TE,ACT,1984-05-19,17,00-0024243,9614,7777,LewiMa00,2973,111
2023,18,TEN,Nick Folk,K,ACT,1984-11-05,16,00-0025565,10621,8432,FolkNi20,,650
2023,18,NYG,Mason Crosby,K,ACT,1984-09-03,16,00-0025580,10636,8447,CrosMa20,3809,59
2023,18,CAR,J.J. Jansen,LS,ACT,1986-01-20,15,00-0026027,,,,,
2023,19,CLE,Joe Flacco,QB,ACT,1985-01-16,15,00-0026158,11252,8795,FlacJo00,4332,19
2023,18,NYJ,Duane Brown,OL,RES,1985-08-30,15,00-0026166,,,,,
2023,18,ATL,Calais Campbell,DL,ACT,1986-09-01,15,00-0026190,11284,8827,CampCa99,4364,125
2023,18,NE,Matt Slater,WR,ACT,1985-09-09,15,00-0026293,11387,8930,SlatMa00,4467,312
2023,21,BAL,Josh Johnson,QB,INA,1986-05-15,15,00-0026300,11394,8937,JohnJo05,4474,260
2023,19,LA,Matthew Stafford,QB,ACT,1988-02-07,14,00-0026498,12483,9265,StafMa00,4924,421
2023,18,LV,Brian Hoyer,QB,INA,1985-10-13,14,00-0026625,12477,9547,,5277,345
2023,18,NYG,Graham Gano,K,RES,1987-04-09,14,00-0026858,12460,9526,,5443,503
2023,18,NYJ,Thomas Morstead,P,ACT,1986-03-08,14,00-0027114,12701,9428,MorsTh00,5088,445
2023,18,CHI,Matt Overton,LS,DEV,1985-07-06,13,00-0027187,13186,9803,,6979,1112
2023,20,HOU,Jon Weeks,LS,ACT,1986-02-17,13,00-0027224,,,,,
2023,18,TEN,Morgan Cox,LS,ACT,1986-04-26,13,00-0027557,,,,,
2023,18,NE,Devin McCourty,DB,RET,1987-08-13,13,00-0027647,13236,24002,McCoDe99,5552,518
2023,19,CLE,Rodger Saffold,OL,DEV,1988-06-06,13,00-0027648,,,,,
2023,18,IND,Jared Veldheer,OL,DEV,1987-06-14,13,00-0027674,,,,,
2023,1,ARI,Colt McCoy,QB,CUT,1986-09-05,13,00-0027688,13199,24060,McCoCo00,5609,533
2023,18,NO,Jimmy Graham,TE,ACT,1986-11-24,13,00-0027696,13232,24070,GrahJi00,5619,616
2023,18,NYJ,Al Woods,DL,RES,1987-03-25,13,00-0027723,13493,24098,WoodAl99,5646,754
2023,22,SF,Trent Williams,OL,ACT,1988-07-19,13,00-0027857,,,,,
2023,21,DET,Tyson Alualu,DL,ACT,1987-05-12,13,00-0027862,13233,23985,AluaTy99,5535,554
2023,19,PHI,Brandon Graham,DL,ACT,1988-04-03,13,00-0027865,13239,23988,GrahBr99,5538,583
2023,16,MIA,Jason Pierre-Paul,DL,CUT,1989-01-01,13,00-0027867,13256,23990,PierJa99,5540,720
2023,20,HOU,Kareem Jackson,DB,ACT,1988-04-10,13,00-0027872,13254,23995,JackKa99,5545,544
2023,20,HOU,Jerry Hughes,DL,INA,1988-08-13,13,00-0027881,13245,24006,HughJe99,5556,550
2023,20,BUF,Linval Joseph,DL,ACT,1988-10-10,13,00-0027885,13281,24021,JoseLi99,5571,579
2023,20,BUF,Von Miller,LB,ACT,1989-03-26,12,00-0027940,13976,24789,MillVo00,6154,871
2023,19,PIT,Patrick Peterson,DB,ACT,1990-07-11,12,00-0027943,13980,24792,PetePa00,6157,972
2023,19,PHI,Julio Jones,WR,ACT,1989-02-08,12,00-0027944,13982,24793,JoneJu02,6158,947
2023,19,DAL,Tyron Smith,OL,ACT,1990-12-12,12,00-0027947,,,,,
