season,week,team,full_name,position,status,birth_date,years_exp,gsis_id,espn_id,yahoo_id,pfr_id,pff_id,sleeper_id
2020,1,IND,Adam Vinatieri,K,UFA,1972-12-28,24,00-0016919,1097,3727,,226,120
2020,21,TB,Tom Brady,QB,ACT,1977-08-03,20,00-0019596,2330,5228,BradTo00,698,167
2020,19,NO,Drew Brees,QB,ACT,1979-01-15,19,00-0020531,2580,5479,BreeDr00,802,289
2020,17,HOU,Josh McCown,QB,INA,1979-07-04,18,00-0021206,3609,5967,McCoJo01,1085,208
2020,17,LV,Jason Witten,TE,ACT,1982-05-06,17,00-0022127,4527,6405,WittJa00,1384,23
2020,1,KC,Terrell Suggs,LB,UFA,1982-10-11,17,00-0022161,4468,6346,SuggTe99,1326,296
2020,17,DET,Don Muhlbach,LS,ACT,1981-08-17,16,00-0022455,8362,7120,,2130,252
2020,17,PHI,Jason Peters,OL,RES,1982-01-22,16,00-0022531,6012,7122,,2148,412
2020,17,ATL,Matt Schaub,QB,ACT,1981-06-25,16,00-0022787,5615,6849,SchaMa00,1811,178
2020,17,ARI,Andy Lee,P,ACT,1982-08-11,16,00-0022824,5713,6947,LeexAn20,1906,112
2020,17,ARI,Larry Fitzgerald,WR,INA,1983-08-31,16,00-0022921,5528,6762,FitzLa00,1724,223
2020,18,PIT,Ben Roethlisberger,QB,ACT,1982-03-02,16,00-0022924,5536,6770,RoetBe00,1732,138
2020,18,IND,Philip Rivers,QB,ACT,1981-12-08,16,00-0022942,5529,6763,RivePh00,1725,331
2020,19,NO,John Denney,LS,DEV,1978-12-13,15,00-0023173,,,,,
2020,17,SF,Robbie Gould,K,RES,1982-12-06,15,00-0023252,9354,7520,,2607,49
2020,1,BUF,Lorenzo Alexander,LB,UFA,1983-05-31,15,00-0023259,9424,7569,,2476,678
2020,17,DAL,L.P. Ladouceur,LS,ACT,1981-03-13,15,00-0023298,9349,7512,,,225
2020,1,TEN,Cameron Wake,LB,UFA,1982-01-30,15,00-0023368,12417,9691,,4907,342
2020,18,WAS,Alex Smith,QB,INA,1984-05-07,15,00-0023436,8416,7177,SmitAl03,2218,268
2020,18,WAS,Thomas Davis,LB,INA,1983-03-22,15,00-0023448,8429,7190,DaviTh20,2231,187
2020,20,GB,Aaron Rodgers,QB,ACT,1983-12-02,15,00-0023459,8439,7200,RodgAa00,2241,96
2020,17,ARI,Mike Nugent,K,ACT,1982-03-02,15,00-0023482,8461,7223,nugenmik01,,658
2020,17,NYJ,Frank Gore,RB,RES,1983-05-14,15,00-0023500,8479,7241,GoreFr00,2282,232
2020,17,LV,Richie Incognito,OL,RES,1983-07-05,15,00-0023516,,,,,
2020,21,KC,Dustin Colquitt,P,DEV,1982-05-06,15,00-0023534,8513,7275,ColqDu20,2316,330
2020,1,PHI,Darren Sproles,RB,UFA,1983-06-20,15,00-0023564,8544,7306,SproDa00,2347,246
