season,week,team,full_name,position,status,birth_date,years_exp,gsis_id,espn_id,yahoo_id,pfr_id,pff_id,sleeper_id
2022,19,TB,Tom Brady,QB,ACT,1977-08-03,22,00-0019596,2330,5228,BradTo00,698,167
2022,20,DAL,Jason Peters,OL,INA,1982-01-22,18,00-0022531,6012,7122,,2148,412
2022,18,ARI,Andy Lee,P,ACT,1982-08-11,18,00-0022824,5713,6947,LeexAn20,1906,112
2022,21,SF,Robbie Gould,K,ACT,1982-12-06,17,00-0023252,9354,7520,,2607,49
2022,18,GB,Aaron Rodgers,QB,ACT,1983-12-02,17,00-0023459,8439,7200,RodgAa00,2241,96
2022,21,SF,Frank Gore,RB,RET,1983-05-14,17,00-0023500,8479,7241,GoreFr00,2282,232
2022,18,ARI,Matt Prater,K,ACT,1984-08-10,16,00-0023853,11122,8565,,3471,17
2022,18,GB,Marcedes Lewis,TE,ACT,1984-05-19,16,00-0024243,9614,7777,LewiMa00,2973,111
2022,18,LA,Andrew Whitworth,OL,RET,1981-12-12,16,00-0024270,,,,,
2022,19,BAL,Sam Koch,P,RET,1982-08-13,16,00-0024417,9789,7952,KochSa20,3148,13
2022,18,NE,Nick Folk,K,ACT,1984-11-05,15,00-0025565,10621,8432,FolkNi20,,650
2022,18,GB,Mason Crosby,K,ACT,1984-09-03,15,00-0025580,10636,8447,CrosMa20,3809,59
2022,21,CIN,Clark Harris,LS,RES,1984-07-10,15,00-0025630,10686,8497,HarrCl20,3859,738
2022,22,PHI,Brett Kern,P,INA,1986-02-17,14,00-0025825,11555,9070,,4580,497
2022,18,CAR,J.J. Jansen,LS,ACT,1986-01-20,14,00-0026027,,,,,
2022,18,IND,Matt Ryan,QB,ACT,1985-05-17,14,00-0026143,11237,8780,RyanMa00,4317,24
2022,18,NYJ,Joe Flacco,QB,ACT,1985-01-16,14,00-0026158,11252,8795,FlacJo00,4332,19
2022,18,NYJ,Duane Brown,OL,RES,1985-08-30,14,00-0026166,,,,,
2022,19,BAL,DeSean Jackson,WR,CUT,1986-12-01,14,00-0026189,11283,8826,JackDe00,4363,147
2022,19,BAL,Calais Campbell,DL,ACT,1986-09-01,14,00-0026190,11284,8827,CampCa99,4364,125
2022,22,KC,Chad Henne,QB,ACT,1985-07-02,14,00-0026197,11291,8834,HennCh01,4371,89
2022,18,NE,Matt Slater,WR,ACT,1985-09-09,14,00-0026293,11387,8930,SlatMa00,4467,312
2022,21,SF,Josh Johnson,QB,ACT,1986-05-15,14,00-0026300,11394,8937,JohnJo05,4474,260
2022,18,LA,Matthew Stafford,QB,RES,1988-02-07,13,00-0026498,12483,9265,StafMa00,4924,421
2022,19,LAC,Chase Daniel,QB,ACT,1986-10-07,13,00-0026544,12471,9678,,5214,490
2022,18,NE,Brian Hoyer,QB,RES,1985-10-13,13,00-0026625,12477,9547,,5277,345
2022,20,JAX,Garrison Sanborn,LS,DEV,1985-07-31,13,00-0026844,,,,,
2022,20,NYG,Graham Gano,K,ACT,1987-04-09,13,00-0026858,12460,9526,,5443,503
2022,19,TB,Ryan Succop,K,ACT,1986-09-19,13,00-0026968,12731,9520,SuccRy44,5180,391
2022,18,NO,Malcolm Jenkins,DB,RET,1987-12-20,13,00-0026990,12426,9278,JenkMa99,4937,444
2022,21,SF,Alex Mack,OL,RET,1985-11-19,13,00-0026997,,,,,
2022,21,CIN,Kevin Huber,P,DEV,1985-07-16,13,00-0027103,12669,9406,HubeKe20,5066,353
2022,19,MIA,Thomas Morstead,P,ACT,1986-03-08,13,00-0027114,12701,9428,MorsTh00,5088,445
2022,20,DAL,Matt Overton,LS,ACT,1985-07-06,12,00-0027187,13186,9803,,6979,1112
2022,18,HOU,Jonathan Weeks,LS,ACT,1986-02-17,12,00-0027224,,,,,
2022,18,TEN,Morgan Cox,LS,ACT,1986-04-26,12,00-0027557,,,,,
2022,18,NE,Devin McCourty,DB,ACT,1987-08-13,12,00-0027647,13236,24002,McCoDe99,5552,518
2022,20,BUF,Rodger Saffold,OL,ACT,1988-06-06,12,00-0027648,,,,,
2022,22,KC,Carlos Dunlap,LB,ACT,1989-02-28,12,00-0027662,13274,24029,DunlCa99,5579,529
2022,20,JAX,Corey Peters,DL,ACT,1988-06-08,12,00-0027686,13292,24058,PeteCo00,5607,608
2022,18,ARI,Colt McCoy,QB,INA,1986-09-05,12,00-0027688,13199,24060,McCoCo00,5609,533
2022,18,CAR,Andre Roberts,WR,ACT,1988-01-09,12,00-0027691,13226,24063,RobeAn00,5612,627
2022,19,SEA,Al Woods,DL,ACT,1987-03-25,12,00-0027723,13493,24098,WoodAl99,5646,754
2022,22,PHI,Ndamukong Suh,DL,ACT,1987-01-06,12,00-0027855,13234,23977,SuhxNd99,5527,594
2022,21,SF,Trent Williams,OL,ACT,1988-07-19,12,00-0027857,,,,,
2022,18,CLE,Joe Haden,DB,RET,1989-04-14,12,00-0027860,13249,23982,HadeJo99,5532,531
2022,18,PIT,Tyson Alualu,DL,ACT,1987-05-12,12,00-0027862,13233,23985,AluaTy99,5535,554
2022,22,PHI,Brandon Graham,DL,ACT,1988-04-03,12,00-0027865,13239,23988,GrahBr99,5538,583
2022,19,BAL,Jason Pierre-Paul,DL,ACT,1989-01-01,12,00-0027867,13256,23990,PierJa99,5540,720
2022,18,DEN,Kareem Jackson,DB,ACT,1988-04-10,12,00-0027872,13254,23995,JackKa99,5545,544
2022,18,HOU,Jerry Hughes,DL,ACT,1988-08-13,12,00-0027881,13245,24006,HughJe99,5556,550
2022,22,PHI,Linval Joseph,DL,ACT,1988-10-10,12,00-0027885,13281,24021,JoseLi99,5571,579
2022,20,BUF,Von Miller,LB,RES,1989-03-26,11,00-0027940,13976,24789,MillVo00,6154,871
2022,18,ARI,A.J. Green,WR,ACT,1988-07-31,11,00-0027942,13983,24791,GreeA.00,6156,830
2022,19,MIN,Patrick Peterson,DB,ACT,1990-07-11,11,00-0027943,13980,24792,PetePa00,6157,972
2022,19,TB,Julio Jones,WR,ACT,1989-02-08,11,00-0027944,13982,24793,JoneJu02,6158,947
2022,20,DAL,Tyron Smith,OL,ACT,1990-12-12,11,00-0027947,,,,,
2022,19,TB,Blaine Gabbert,QB,ACT,1989-10-15,11,00-0027948,13987,24797,GabbBl00,6162,862
2022,18,ARI,J.J. Watt,DL,ACT,1989-03-22,11,00-0027949,13979,24798,WattJ.00,6163,856
2022,22,PHI,Robert Quinn,LB,ACT,1990-05-18,11,00-0027952,13984,24801,QuinRo00,6166,967
2022,18,WAS,Ryan Kerrigan,DL,RET,1988-08-16,11,00-0027954,13973,24803,KerrRy00,6168,917
2022,18,NO,Cameron Jordan,DL,ACT,1989-07-10,11,00-0027962,13971,24811,JordCa00,6176,957
2022,18,NO,Mark Ingram,RB,RES,1989-12-21,11,00-0027966,13981,24815,IngrMa01,6180,956
2022,18,PIT,Cameron Heyward,DL,ACT,1989-05-06,11,00-0027969,13977,24818,HeywCa01,6183,843
2022,18,NO,Andy Dalton,QB,ACT,1987-10-29,11,00-0027973,14012,24822,DaltAn00,6187,829
2022,19,TB,Kyle Rudolph,TE,INA,1989-11-09,11,00-0027981,14054,24830,RudoKy00,6195,943
2022,18,ARI,Rodney Hudson,OL,RES,1989-07-12,11,00-0027993,,,,,
2022,18,GB,Randall Cobb,WR,ACT,1990-08-22,11,00-0028002,14053,24851,CobbRa00,6216,928
2022,19,BAL,Justin Houston,LB,ACT,1989-01-21,11,00-0028008,14048,24857,HousJu00,6222,878
2022,19,SEA,K.J. Wright,LB,RET,1989-07-23,11,00-0028037,14140,24886,WrigK.00,6251,998
2022,20,BUF,Taiwan Jones,RB,ACT,1988-07-26,11,00-0028063,14167,24912,JoneTa00,6277,886
2022,18,NYJ,Bilal Powell,RB,RET,1988-10-27,11,00-0028064,14129,24913,PoweBi00,6278,818
2022,18,TEN,Buster Skrine,DB,RET,1989-04-26,11,00-0028075,14139,24924,SkriBu00,6289,837
2022,18,NE,Marcus Cannon,OL,RES,1988-05-06,11,00-0028076,,,,,
2022,20,NYG,Tyrod Taylor,QB,ACT,1989-08-03,11,00-0028118,14163,24967,TaylTy00,6332,827
2022,22,PHI,Jason Kelce,OL,ACT,1987-11-05,11,00-0028129,,,,,
2022,18,NE,Lawrence Guy,DL,ACT,1990-03-17,11,00-0028171,14185,25020,GuyxLa00,6385,1288
2022,18,NO,Chris Harris,DB,ACT,1989-06-18,11,00-0028224,14398,25189,,6457,869
2022,19,BAL,Josh Bynes,LB,DEV,1989-08-24,11,00-0028278,14519,25358,,6503,821
2022,18,CHI,Patrick Scales,LS,ACT,1988-02-11,11,00-0028284,,,,,
2022,19,SEA,Nick Bellore,LB,ACT,1989-05-12,11,00-0028292,14471,25295,,6515,815
2022,18,HOU,Mario Addison,DL,ACT,1987-09-06,11,00-0028339,14320,25147,,6558,922
2022,6,LA,Kyle Nelson,LS,DEV,1986-10-03,11,00-0028374,14426,25291,,6428,1301
2022,20,DAL,Jake McQuaide,LS,RES,1987-12-07,11,00-0028394,,,,,
2022,19,LAC,Josh Harris,LS,ACT,1989-04-27,10,00-0028845,,,,,
2022,18,CAR,Johnny Hekker,P,ACT,1990-02-08,10,00-0028872,15153,26350,,7252,1202
2022,18,IND,Rodney McLeod,DB,ACT,1990-06-23,10,00-0028899,15222,26356,,7271,1205
2022,21,CIN,Michael Thomas,DB,ACT,1990-03-17,10,00-0028908,15231,26265,,7279,1703
2022,21,SF,Tashaun Gipson,DB,ACT,1990-08-07,10,00-0028924,15235,26372,,7288,1079
2022,18,ARI,Aaron Brewer,LS,RES,1990-07-05,10,00-0028946,15241,25976,,7301,1122
2022,20,BUF,Case Keenum,QB,ACT,1988-02-17,10,00-0028986,15168,26483,,7323,1737
2022,20,BUF,Cole Beasley,WR,ACT,1989-04-26,10,00-0029000,15349,26060,BeasCo00,7330,1144
2022,18,CLE,Charley Hughlett,LS,ACT,1990-05-16,10,00-0029008,,,,,
2022,18,DET,Julian Stanford,LB,DEV,1990-09-02,10,00-0029061,15373,26093,,7372,1120
2022,18,ATL,Beau Brinkley,LS,RES,1990-01-25,10,00-0029134,15355,26016,,7418,1245
2022,18,DEN,Tom Compton,OL,RES,1989-05-10,10,00-0029144,,,,,
2022,19,SEA,J.R. Sweezy,OL,RET,1989-04-08,10,00-0029146,15025,25935,SweeJ.00,7209,1243
2022,18,NYJ,Mike Remmers,OL,ACT,1989-04-11,10,00-0029164,,,,,
2022,19,SEA,Bruce Irvin,LB,ACT,1987-11-01,10,00-0029193,14946,25725,IrviBr00,7021,1242
2022,18,LV,Brandon Bolden,RB,ACT,1990-01-26,10,00-0029239,15478,26389,BoldBr00,7469,1034
2022,19,MIA,Melvin Ingram,LB,ACT,1989-04-26,10,00-0029249,14926,25728,IngrMe00,7024,1141
2022,18,LA,Bobby Wagner,LB,ACT,1990-06-27,10,00-0029255,14979,25757,WagnBo00,7050,1233
2022,18,ATL,Casey Hayward,DB,RES,1989-09-09,10,00-0029261,14966,25772,HaywCa00,7064,1175
2022,18,DEN,Russell Wilson,QB,ACT,1988-11-29,10,00-0029263,14881,25785,WilsRu00,7077,1234
2022,18,CAR,Josh Norman,DB,ACT,1987-12-15,10,00-0029285,15124,25853,NormJo01,7649,1182
2022,20,JAX,Marvin Jones,WR,ACT,1990-03-12,10,00-0029293,15072,25876,JoneMa02,7158,1067
2022,18,ARI,Kelvin Beachum,OL,ACT,1989-06-08,10,00-0029316,,,,,
2022,18,NYJ,Vinny Curry,DL,ACT,1988-06-30,10,00-0029412,14959,25769,CurrVi00,7061,1028
