jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,uncalibrated_model_price,price_range_low,price_range_high,range_basis,draft_probability,draft_likelihood,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
1,nfl:gsis:00-0039139,22968,Jahmyr Gibbs,RB,DET,74.5,73.7,68.4,80.7,historical_forward_error_p80:RB,0.9658,very_likely,57,1.0,1.0,301.624,62,
2,nfl:gsis:00-0038542,23133,Bijan Robinson,RB,ATL,71.4,70.5,65.2,77.5,historical_forward_error_p80:RB,0.9657,very_likely,56,2.0,2.0,290.24,68,
3,nfl:gsis:00-0036900,19788,Ja'Marr Chase,WR,CIN,64.6,63.8,57.8,71.3,historical_forward_error_p80:WR,0.9328,very_likely,56,3.0,3.0,214.816,71,
4,nfl:gsis:00-0033280,16393,Christian McCaffrey,RB,SF,63.2,62.4,57.0,69.4,historical_forward_error_p80:RB,0.9784,very_likely,53,6.0,5.0,256.421,66,
5,nfl:gsis:00-0039075,23180,Puka Nacua,WR,LAR,60.5,59.8,53.7,67.3,historical_forward_error_p80:WR,0.9308,very_likely,55,4.0,4.0,222.78,40,
6,nfl:gsis:00-0036223,19217,Jonathan Taylor,RB,IND,58.4,57.7,52.3,64.6,historical_forward_error_p80:RB,0.9737,very_likely,52,7.0,7.0,267.246,37,
7,nfl:gsis:00-0038543,23070,Jaxon Smith-Njigba,WR,SEA,55.7,55.0,48.9,62.4,historical_forward_error_p80:WR,0.9439,very_likely,54,5.0,6.0,213.255,23,
8,nfl:gsis:00-0036963,19799,Amon-Ra St. Brown,WR,DET,53.7,53.0,46.9,60.5,historical_forward_error_p80:WR,0.9262,very_likely,52,8.0,8.0,202.382,51,
9,nfl:gsis:00-0037248,22958,James Cook III,RB,BUF,52.0,51.4,45.8,58.1,historical_forward_error_p80:RB,0.995,very_likely,46,12.0,9.0,237.241,33,
10,nfl:gsis:00-0036358,19202,CeeDee Lamb,WR,DAL,50.9,50.3,44.2,57.7,historical_forward_error_p80:WR,0.9452,very_likely,51,9.0,10.0,175.539,62,
11,nfl:gsis:00-0034844,17240,Saquon Barkley,RB,PHI,50.3,49.7,44.1,56.4,historical_forward_error_p80:RB,0.995,very_likely,42,13.0,11.0,222.911,67,
12,nfl:gsis:00-0032764,15514,Derrick Henry,RB,BAL,48.7,48.2,42.6,54.9,historical_forward_error_p80:RB,0.9058,very_likely,50,16.0,17.0,255.542,58,
13,nfl:gsis:00-0039040,23136,De'Von Achane,RB,MIA,48.4,47.8,42.3,54.6,historical_forward_error_p80:RB,0.995,very_likely,45,10.0,14.0,227.129,52,
14,nfl:gsis:00-0036322,19236,Justin Jefferson,WR,MIN,47.2,46.7,40.5,54.0,historical_forward_error_p80:WR,0.9642,very_likely,48,11.0,12.0,173.863,54,
15,nfl:gsis:00-0040122,25989,Ashton Jeanty,RB,LV,45.0,44.5,38.8,51.1,historical_forward_error_p80:RB,0.995,very_likely,36,14.0,13.0,217.985,51,
16,nfl:gsis:00-0038597,25324,Chase Brown,RB,CIN,40.6,40.1,34.4,46.7,historical_forward_error_p80:RB,0.995,very_likely,33,22.0,15.0,214.782,46,
17,nfl:gsis:00-0038134,23021,Kenneth Walker III,RB,KC,40.1,39.6,33.9,46.2,historical_forward_error_p80:RB,0.995,very_likely,37,21.0,16.0,212.193,24,
18,nfl:gsis:00-0037238,23163,Drake London,WR,ATL,39.7,39.2,32.9,46.4,historical_forward_error_p80:WR,0.9914,very_likely,43,15.0,19.0,185.376,41,
19,nfl:gsis:00-0040666,25395,Omarion Hampton,RB,LAC,37.3,36.9,31.2,43.5,historical_forward_error_p80:RB,0.995,very_likely,34,25.0,18.0,203.971,35,
20,nfl:gsis:00-0041027,25403,Jeremiyah Love,RB,ARI,34.7,34.3,28.5,40.9,historical_forward_error_p80:RB,0.995,very_likely,35,18.0,26.0,200.684,,prior_jugg_salary
21,nfl:gsis:00-0037744,22936,Trey McBride,TE,ARI,34.7,34.3,29.7,39.7,historical_forward_error_p80:TE,0.9701,very_likely,38,17.0,25.0,145.308,30,
22,nfl:gsis:00-0034857,17298,Josh Allen,QB,BUF,34.3,33.9,29.4,39.2,historical_forward_error_p80:QB,0.995,very_likely,22,19.0,20.0,399.899,38,
23,nfl:gsis:00-0039338,22955,Brock Bowers,TE,LV,34.1,33.7,29.1,39.1,historical_forward_error_p80:TE,0.9613,very_likely,32,23.0,21.0,147.446,41,
24,nfl:gsis:00-0036554,20130,Nico Collins,WR,HOU,31.5,31.1,24.7,38.2,historical_forward_error_p80:WR,0.995,very_likely,31,26.0,22.0,169.779,42,
25,nfl:gsis:00-0035676,18218,A.J. Brown,WR,NE,30.1,29.8,23.4,36.9,historical_forward_error_p80:WR,0.995,very_likely,30,24.0,24.0,167.492,37,
26,nfl:gsis:00-0039067,23113,Rashee Rice,WR,KC,30.1,29.8,23.4,36.9,historical_forward_error_p80:WR,0.9648,very_likely,40,20.0,33.0,174.945,1,
27,nfl:gsis:00-0035700,18269,Josh Jacobs,RB,GB,29.7,29.3,23.5,35.8,historical_forward_error_p80:RB,0.995,very_likely,27,31.0,29.0,213.274,44,
