season,week,team,full_name,position,status,birth_date,years_exp,gsis_id,espn_id,yahoo_id,pfr_id,pff_id,sleeper_id
2021,20,TB,Tom Brady,QB,ACT,1977-08-03,21,00-0019596,2330,5228,BradTo00,698,167
2021,18,NO,Drew Brees,QB,RET,1979-01-15,20,00-0020531,2580,5479,BreeDr00,802,289
2021,18,CHI,Jason Peters,OL,ACT,1982-01-22,17,00-0022531,6012,7122,,2148,412
2021,19,ARI,Andy Lee,P,ACT,1982-08-11,17,00-0022824,5713,6947,LeexAn20,1906,112
2021,19,PIT,Ben Roethlisberger,QB,ACT,1982-03-02,17,00-0022924,5536,6770,RoetBe00,1732,138
2021,21,SF,Robbie Gould,K,ACT,1982-12-06,16,00-0023252,9354,7520,,2607,49
2021,20,GB,Aaron Rodgers,QB,ACT,1983-12-02,16,00-0023459,8439,7200,RodgAa00,2241,96
2021,19,LV,Richie Incognito,OL,RES,1983-07-05,16,00-0023516,,,,,
2021,18,CLE,Dustin Colquitt,P,ACT,1982-05-06,16,00-0023534,8513,7275,ColqDu20,2316,330
2021,18,WAS,Ryan Fitzpatrick,QB,RES,1982-11-24,16,00-0023682,8664,7426,FitzRy00,2467,333
2021,19,ARI,Matt Prater,K,ACT,1984-08-10,15,00-0023853,11122,8565,,3471,17
2021,19,LV,Donald Penn,OL,RET,1983-04-27,15,00-0023894,10062,8119,,3459,207
2021,20,GB,Marcedes Lewis,TE,ACT,1984-05-19,15,00-0024243,9614,7777,LewiMa00,2973,111
2021,22,LA,Andrew Whitworth,OL,ACT,1981-12-12,15,00-0024270,,,,,
2021,18,BAL,Sam Koch,P,ACT,1982-08-13,15,00-0024417,9789,7952,KochSa20,3148,13
2021,18,SEA,Adrian Peterson,RB,DEV,1985-03-21,14,00-0025394,10452,8261,PeteAd01,3623,184
2021,22,LA,Eric Weddle,DB,ACT,1985-01-04,14,00-0025424,10481,8291,WeddEr99,3653,290
2021,19,NE,Nick Folk,K,ACT,1984-11-05,14,00-0025565,10621,8432,FolkNi20,,650
2021,20,GB,Mason Crosby,K,ACT,1984-09-03,14,00-0025580,10636,8447,CrosMa20,3809,59
2021,22,CIN,Clark Harris,LS,ACT,1984-07-10,14,00-0025630,10686,8497,HarrCl20,3859,738
2021,20,TEN,Brett Kern,P,ACT,1986-02-17,13,00-0025825,11555,9070,,4580,497
2021,18,CAR,J.J. Jansen,LS,ACT,1986-01-20,13,00-0026027,,,,,
2021,18,HOU,Danny Amendola,WR,ACT,1985-11-02,13,00-0026035,11674,9037,AmenDa00,4717,491
2021,18,ATL,Matt Ryan,QB,ACT,1985-05-17,13,00-0026143,11237,8780,RyanMa00,4317,24
2021,18,NYJ,Joe Flacco,QB,ACT,1985-01-16,13,00-0026158,11252,8795,FlacJo00,4332,19
2021,18,SEA,Duane Brown,OL,ACT,1985-08-30,13,00-0026166,,,,,
2021,19,LV,DeSean Jackson,WR,ACT,1986-12-01,13,00-0026189,11283,8826,JackDe00,4363,147
2021,18,BAL,Calais Campbell,DL,ACT,1986-09-01,13,00-0026190,11284,8827,CampCa99,4364,125
2021,21,KC,Chad Henne,QB,ACT,1985-07-02,13,00-0026197,11291,8834,HennCh01,4371,89
2021,19,NE,Matt Slater,WR,ACT,1985-09-09,13,00-0026293,11387,8930,SlatMa00,4467,312
2021,18,BAL,Josh Johnson,QB,ACT,1986-05-15,13,00-0026300,11394,8937,JohnJo05,4474,260
2021,22,LA,Matthew Stafford,QB,ACT,1988-02-07,12,00-0026498,12483,9265,StafMa00,4924,421
2021,1,MIN,Britton Colquitt,P,CUT,1985-03-20,12,00-0026516,12773,9769,,5192,385
2021,18,LAC,Chase Daniel,QB,ACT,1986-10-07,12,00-0026544,12471,9678,,5214,490
2021,20,TB,Steve McLendon,DL,ACT,1986-01-03,12,00-0026564,12895,9673,,5232,667
2021,19,NE,Brian Hoyer,QB,ACT,1985-10-13,12,00-0026625,12477,9547,,5277,345
2021,14,TB,Garrison Sanborn,LS,DEV,1985-07-31,12,00-0026844,,,,,
2021,18,NYG,Graham Gano,K,ACT,1987-04-09,12,00-0026858,12460,9526,,5443,503
2021,20,TB,Ryan Succop,K,ACT,1986-09-19,12,00-0026968,12731,9520,SuccRy44,5180,391
2021,9,BAL,Andre Smith,OL,CUT,1987-01-25,12,00-0026982,,,,,
2021,18,NO,Malcolm Jenkins,DB,ACT,1987-12-20,12,00-0026990,12426,9278,JenkMa99,4937,444
2021,21,SF,Alex Mack,OL,ACT,1985-11-19,12,00-0026997,,,,,
2021,19,NE,Patrick Chung,DB,RET,1987-08-19,12,00-0027010,12527,9298,ChunPa99,4957,343
2021,18,LAC,Jared Cook,TE,ACT,1987-04-07,12,00-0027061,12537,9353,CookJa02,5012,367
