season,week,team,full_name,position,status,birth_date,years_exp,gsis_id,espn_id,yahoo_id,pfr_id,pff_id,sleeper_id
2024,18,SEA,Jason Peters,OL,DEV,1982-01-22,20,00-0022531,6012,7122,,2148,412
2024,18,NYJ,Aaron Rodgers,QB,ACT,1983-12-02,19,00-0023459,8439,7200,RodgAa00,2241,96
2024,18,SEA,Jon Ryan,P,RET,1981-11-26,18,00-0023742,10238,8020,,3493,135
2024,18,ARI,Matt Prater,K,RES,1984-08-10,18,00-0023853,11122,8565,,3471,17
2024,18,CHI,Marcedes Lewis,TE,ACT,1984-05-19,18,00-0024243,9614,7777,LewiMa00,2973,111
2024,18,TEN,Nick Folk,K,INA,1984-11-05,17,00-0025565,10621,8432,FolkNi20,,650
2024,18,CAR,J.J. Jansen,LS,ACT,1986-01-20,16,00-0026027,,,,,
2024,18,ATL,Matt Ryan,QB,RET,1985-05-17,16,00-0026143,11237,8780,RyanMa00,4317,24
2024,18,IND,Joe Flacco,QB,ACT,1985-01-16,16,00-0026158,11252,8795,FlacJo00,4332,19
2024,18,MIA,Calais Campbell,DL,ACT,1986-09-01,16,00-0026190,11284,8827,CampCa99,4364,125
2024,20,BAL,Josh Johnson,QB,ACT,1986-05-15,16,00-0026300,11394,8937,JohnJo05,4474,260
2024,20,LA,Matthew Stafford,QB,ACT,1988-02-07,15,00-0026498,12483,9265,StafMa00,4924,421
2024,18,NYG,Graham Gano,K,ACT,1987-04-09,15,00-0026858,12460,9526,,5443,503
2024,18,NYJ,Thomas Morstead,P,ACT,1986-03-08,15,00-0027114,12701,9428,MorsTh00,5088,445
2024,9,MIA,Matt Overton,LS,ACT,1985-07-06,14,00-0027187,13186,9803,,6979,1112
2024,20,HOU,Jon Weeks,LS,ACT,1986-02-17,14,00-0027224,,,,,
2024,18,TEN,Morgan Cox,LS,ACT,1986-04-26,14,00-0027557,,,,,
2024,18,SF,Trent Williams,OL,RES,1988-07-19,14,00-0027857,,,,,
2024,22,PHI,Brandon Graham,DL,ACT,1988-04-03,14,00-0027865,13239,23988,GrahBr99,5538,583
2024,21,BUF,Kareem Jackson,DB,ACT,1988-04-10,14,00-0027872,13254,23995,JackKa99,5545,544
2024,20,HOU,Jerry Hughes,DL,INA,1988-08-13,14,00-0027881,13245,24006,HughJe99,5556,550
2024,18,DAL,Linval Joseph,DL,ACT,1988-10-10,14,00-0027885,13281,24021,JoseLi99,5571,579
2024,21,BUF,Von Miller,DL,ACT,1989-03-26,13,00-0027940,13976,24789,MillVo00,6154,871
2024,18,NYJ,Tyron Smith,OL,RES,1990-12-12,13,00-0027947,,,,,
2024,18,NO,Cameron Jordan,DL,ACT,1989-07-10,13,00-0027962,13971,24811,JordCa00,6176,957
2024,19,PIT,Cameron Heyward,DL,ACT,1989-05-06,13,00-0027969,13977,24818,HeywCa01,6183,843
2024,18,CAR,Andy Dalton,QB,ACT,1987-10-29,13,00-0027973,14012,24822,DaltAn00,6187,829
2024,18,NYJ,Tyrod Taylor,QB,ACT,1989-08-03,13,00-0028118,14163,24967,TaylTy00,6332,827
2024,22,PHI,Jason Kelce,OL,RET,1987-11-05,13,00-0028129,,,,,
2024,9,CIN,Lawrence Guy,DL,CUT,1990-03-17,13,00-0028171,14185,25020,GuyxLa00,6385,1288
2024,18,CHI,Patrick Scales,LS,RES,1988-02-11,13,00-0028284,,,,,
2024,21,WAS,Nick Bellore,LB,ACT,1989-05-12,13,00-0028292,14471,25295,,6515,815
2024,18,MIA,Jake McQuaide,LS,ACT,1987-12-07,13,00-0028394,,,,,
2024,19,LAC,Josh Harris,LS,ACT,1989-04-27,12,00-0028845,15151,26168,,,1238
2024,18,CAR,Johnny Hekker,P,ACT,1990-02-08,12,00-0028872,15153,26350,,7252,1202
2024,18,CLE,Rodney McLeod Jr.,DB,ACT,1990-06-23,12,00-0028899,15222,26356,,7271,1205
2024,18,SF,Tashaun Gipson,DB,ACT,1990-08-07,12,00-0028924,15235,26372,,7288,1079
2024,18,ARI,Aaron Brewer,LS,ACT,1990-07-05,12,00-0028946,15241,25976,,7301,1122
2024,20,HOU,Case Keenum,QB,RES,1988-02-17,12,00-0028986,15168,26483,,7323,1737
2024,18,CLE,Charley Hughlett,LS,RES,1990-05-16,12,00-0029008,,,,,
2024,21,WAS,Bobby Wagner,LB,ACT,1990-06-27,12,00-0029255,14979,25757,WagnBo00,7050,1233
2024,19,PIT,Russell Wilson,QB,ACT,1988-11-29,12,00-0029263,14881,25785,WilsRu00,7077,1234
2024,18,ARI,Kelvin Beachum,OL,ACT,1989-06-08,12,00-0029316,,,,,
2024,19,MIN,Stephon Gilmore,DB,ACT,1990-09-19,12,00-0029542,14942,25720,GilmSt00,7016,1043
2024,19,TB,Lavonte David,LB,ACT,1990-01-23,12,00-0029562,14985,25768,DaviLa00,7060,1192
2024,20,DET,Kevin Zeitler,OL,INA,1990-03-08,12,00-0029592,,,,,
2024,20,BAL,Justin Tucker,K,ACT,1989-11-21,12,00-0029597,15683,26534,,7604,1264
2024,18,ATL,Kirk Cousins,QB,ACT,1988-08-19,12,00-0029604,14880,25812,CousKi00,7102,1166
2024,19,MIN,Harrison Smith,DB,ACT,1989-02-02,12,00-0029606,14945,25739,SmitHa00,7641,1213
2024,18,NO,Demario Davis,LB,ACT,1989-01-11,12,00-0029607,14958,25787,DaviDe00,7079,1052
